Unnamed: 0,time,pelvis_list,pelvis_rotation,pelvis_tilt,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,pelvis_ty,lumbar_bending,lumbar_rotation,lumbar_extension
21,0.42000001,0.004886922,-0.019024089,-0.043458698,-0.207345115,0.071733032,-0.000349066,-0.042586034,0.177325452,0.437030445,0.009948377,-0.049043752,-0.148003921,0.009424778,0.96,-0.004886922,0.019024089,0.043458698
21.5,0.43000001,0.005235988,-0.024609143,-0.042760567,-0.221482282,0.070336769,0.001658063,-0.047472956,0.180816111,0.43493605,0.01012291,-0.040666172,-0.11152654,0.006283186,0.96,-0.005235988,0.024609143,0.042760567
22,0.44000001,0.005585054,-0.030194196,-0.042062435,-0.235619449,0.068940505,0.003665191,-0.052359878,0.184306769,0.432841654,0.010297443,-0.032288591,-0.075049158,0.003141593,0.96,-0.005585054,0.030194196,0.042062435
22.5,0.45000001,0.006195919,-0.035342918,-0.041364304,-0.247400422,0.066584311,0.006719518,-0.061784656,0.185964832,0.431619924,0.010995575,-0.028187068,-0.057334066,0.002181662,0.96,-0.006195919,0.035342918,0.041364304
23,0.46000001,0.006806784,-0.040491639,-0.040666172,-0.259181394,0.064228116,0.009773844,-0.071209433,0.187622895,0.430398194,0.011693706,-0.024085544,-0.039618974,0.00122173,0.96,-0.006806784,0.040491639,0.040666172
23.5,0.47000001,0.008115781,-0.044505896,-0.040055307,-0.26816984,0.060562925,0.013177236,-0.086481064,0.185790299,0.430398194,0.013351769,-0.023125613,-0.040317106,0.000523599,0.96,-0.008115781,0.044505896,0.040055307
24,0.48000001,0.009424778,-0.048520153,-0.039444441,-0.277158285,0.056897734,0.016580628,-0.101752695,0.183957703,0.430398194,0.015009832,-0.022165682,-0.041015237,-0.000174533,0.96,-0.009424778,0.048520153,0.039444441
24.5,0.49000001,0.01160644,-0.051399947,-0.038833576,-0.283092405,0.051836279,0.019460421,-0.122434847,0.177587252,0.43074726,0.017802359,-0.021642083,-0.056635934,-0.004450589,0.96,-0.01160644,0.051399947,0.038833576
25,0.50000001,0.013788101,-0.05427974,-0.038222711,-0.289026524,0.046774824,0.022340214,-0.143116999,0.1712168,0.431096325,0.020594885,-0.021118484,-0.072256631,-0.008726646,0.96,-0.013788101,0.05427974,0.038222711
25.5,0.51000001,0.017104227,-0.055676004,-0.037437313,-0.291295452,0.040317106,0.023474678,-0.170082336,0.157690498,0.430310927,0.019809487,-0.022340215,-0.070511302,-0.019198622,0.96,-0.017104227,0.055676004,0.037437313
26,0.52000001,0.020420352,-0.057072267,-0.036651914,-0.29356438,0.033859387,0.024609142,-0.197047673,0.144164196,0.429525529,0.019024089,-0.023561945,-0.068765973,-0.029670597,0.96,-0.020420352,0.057072267,0.036651914
26.5,0.53000001,0.024958208,-0.056897734,-0.035604717,-0.291033653,0.025569074,0.022427481,-0.231081593,0.120253186,0.428129265,0.023387412,-0.015009832,-0.092502451,-0.043196899,0.96,-0.024958208,0.056897734,0.035604717
27,0.54000001,0.029496064,-0.056723201,-0.034557519,-0.288502925,0.01727876,0.020245819,-0.265115513,0.096342175,0.426733002,0.027750735,-0.006457718,-0.116238928,-0.056723201,0.96,-0.029496064,0.056723201,0.034557519
27.5,0.55000001,0.035168384,-0.054977872,-0.033073989,-0.278641815,0.006981317,0.013700834,-0.308574212,0.057857665,0.423940476,0.033248522,0.00863938,-0.140586271,-0.069202305,0.96,-0.035168384,0.054977872,0.033073989
28,0.56000001,0.040840704,-0.053232542,-0.031590459,-0.268780705,-0.003316126,0.00715585,-0.35203291,0.019373155,0.421147949,0.038746309,0.023736478,-0.164933614,-0.081681409,0.96,-0.040840704,0.053232542,0.031590459
28.5,0.57000001,0.046687557,-0.051138147,-0.03010693,-0.251676478,-0.014573499,-0.000610865,-0.403432856,-0.0283616,0.417220958,0.04564036,0.038222711,-0.18945549,-0.085172068,0.96,-0.046687557,0.051138147,0.03010693
29,0.58000001,0.05253441,-0.049043752,-0.0286234,-0.234572251,-0.025830873,-0.00837758,-0.454832803,-0.076096355,0.413293967,0.05253441,0.052708943,-0.213977366,-0.088662726,0.96,-0.05253441,0.049043752,0.0286234
29.5,0.59000001,0.057770398,-0.047734755,-0.027576203,-0.210224908,-0.036390115,-0.01282817,-0.512515935,-0.122958446,0.407010782,0.060475659,0.06117379,-0.235793982,-0.080721478,0.96,-0.057770398,0.047734755,0.027576203
30,0.60000001,0.063006386,-0.046425758,-0.026529005,-0.185877565,-0.046949357,-0.01727876,-0.570199067,-0.169820536,0.400727596,0.068416907,0.069638637,-0.257610598,-0.07278023,0.96,-0.063006386,0.046425758,0.026529005
30.5,0.61000001,0.067020644,-0.046600291,-0.026267206,-0.155334304,-0.055065138,-0.014398967,-0.630674726,-0.201585529,0.390430154,0.075921823,0.071733032,-0.271660499,-0.058206731,0.96,-0.067020644,0.046600291,0.026267206
31,0.62000001,0.071034901,-0.046774824,-0.026005406,-0.124791042,-0.063180919,-0.011519173,-0.691150384,-0.233350521,0.380132711,0.083426738,0.073827427,-0.285710399,-0.043633231,0.96,-0.071034901,0.046774824,0.026005406
31.5,0.63000001,0.073478362,-0.048432887,-0.026441738,-0.089971723,-0.067369709,-0.003054326,-0.748397184,-0.239459174,0.366693676,0.089273591,0.073391095,-0.291557252,-0.029059732,0.96,-0.073478362,0.048432887,0.026441738
32,0.64000001,0.075921822,-0.05009095,-0.02687807,-0.055152404,-0.071558499,0.005410521,-0.805643983,-0.245567826,0.353254641,0.095120444,0.072954763,-0.297404105,-0.014486233,0.96,-0.075921822,0.05009095,0.02687807
32.5,0.65000001,0.076532688,-0.052447145,-0.027663469,-0.019285888,-0.072082098,0.012217305,-0.85381507,-0.232914189,0.337284878,0.098611102,0.069900437,-0.296444173,-0.001570797,0.96,-0.076532688,0.052447145,0.027663469
33,0.66000001,0.077143553,-0.054803339,-0.028448867,0.016580628,-0.072605697,0.019024089,-0.901986157,-0.220260552,0.321315115,0.102101761,0.06684611,-0.295484242,0.01134464,0.96,-0.077143553,0.054803339,0.028448867
33.5,0.67000001,0.07574729,-0.056810468,-0.029408798,0.05131268,-0.070162236,0.019024089,-0.93671821,-0.198793002,0.303600023,0.103498025,0.061610123,-0.289462857,0.022427481,0.96,-0.07574729,0.056810468,0.029408798
34,0.68000001,0.074351026,-0.058817596,-0.030368729,0.086044732,-0.067718775,0.019024089,-0.971450262,-0.177325452,0.285884931,0.104894288,0.056374135,-0.283441471,0.033510322,0.96,-0.074351026,0.058817596,0.030368729
34.5,0.69000001,0.071034901,-0.060126593,-0.031241394,0.118333323,-0.063355452,0.012391838,-0.990387084,-0.154985237,0.266773576,0.104457956,0.051923546,-0.273929426,0.042760567,0.96,-0.071034901,0.060126593,0.031241394
35,0.70000001,0.067718775,-0.06143559,-0.032114058,0.150621914,-0.058992129,0.005759587,-1.009323906,-0.132645023,0.247662221,0.104021623,0.047472956,-0.264417382,0.052010812,0.96,-0.067718775,0.06143559,0.032114058
35.5,0.71000001,0.063180919,-0.061871922,-0.032986723,0.179681647,-0.053843407,-0.003577925,-1.012989098,-0.112399204,0.227765467,0.10262536,0.044680429,-0.253247274,0.059864794,0.96,-0.063180919,0.061871922,0.032986723
36,0.72000001,0.058643063,-0.062308254,-0.033859387,0.208741379,-0.048694686,-0.012915436,-1.016654289,-0.092153385,0.207868714,0.101229097,0.041887902,-0.242077167,0.067718775,0.96,-0.058643063,0.062308254,0.033859387
36.5,0.73000001,0.053581608,-0.062046455,-0.034557519,0.234921318,-0.043371432,-0.021380283,-1.008189443,-0.074001961,0.187535628,0.099221968,0.039618974,-0.229772596,0.074351026,0.96,-0.053581608,0.062046455,0.034557519
37,0.74000001,0.048520153,-0.061784656,-0.035255651,0.261101256,-0.038048178,-0.02984513,-0.999724596,-0.055850536,0.167202542,0.097214839,0.037350046,-0.217468025,0.080983277,0.96,-0.048520153,0.061784656,0.035255651
